"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6377424","21156311110000125001005206S1","AGRIBRANDS PURINA MEXICO","AGRIBRANDS PURINA MEXICO S DE RL DE CV","311110","Elaboración de alimentos para animales","51 a 100 personas","CALLE","19 PONIENTE","CALLE","REFORMA SUR","AVENIDA","HEROE DE NACOZARI SUR","CALLE","21 PONIENTE","401",,,,"0","SN","COLONIA","BENITO JUÁREZ",,,,"75770","21","PUEBLA","156","Tehuacán","0001","Tehuacán","1088","007",,,,"Fijo","18.44983087","-97.39906989","2010-07"
"6376629","21132312112000116001000000U6","AGUA SAN MARTIN","AGUA PURIFICADA LOS VOLCANES SA DE CV","312112","Purificación y embotellado de agua","101 a 250 personas","CARRETERA","FEDERAL  MEXICO PUEBLA  KM  91.5","CARRETERA","FEDERAL MÉXICO-PUEBLA","CALLE","FERNANDO MONTES DE OCA SUR","CARRETERA","FEDERAL MÉXICO-PUEBLA","0","SN",,,"0","91.5","COLONIA","LOS ANGELES",,,,"74080","21","PUEBLA","132","San Martín Texmelucan","0001","San Martín Texmelucan de Labastida","036A","012",,"contabilidad@aguasanmartin.com.mx","AGUASANMARTIN.COM.MX","Fijo","19.27391186","-98.4310408","2010-07"
"6376642","21090312112000021000006096S8","AGUAS PUEBLA","ENVASADORA DE AGUAS EN MEXICO S DE RL DE CV","312112","Purificación y embotellado de agua","101 a 250 personas","CARRETERA","FEDERAL MEXICO PUEBLA KM 96 100","CARRETERA","DE LA VIA ANTIGUA","CALLE","INSURGENTES SUR","CALLE","HIMNO NACIONAL","0","SN",,,,,"COLONIA","LOS ANGELES",,,,"72640","21","PUEBLA","090","Juan C. Bonilla","0005","Santa María Zacatepec","0067","019",,,,"Fijo","19.1090754","-98.35270755","2010-07"
"6376955","21174315229002276001000000U7","AJH MAQUILA SA DE CV","AJH MAQUILA SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","251 y más personas","CALLE","JOSEFA RAMIRO GAVILAN","CALLE","NINGUNO","CALLE","HERRERA","CALLE","NINGUNO","71",,,,"0","SN","COLONIA","SEGUNDA SECCIÓN DE SAN DIEGO",,,,"73965","21","PUEBLA","174","Teziutlán","0015","San Diego","0247","001",,"BUZONAJH@HOTMAIL.COM",,"Fijo","19.85790486","-97.3608513","2014-12"
"6271547","21114315229001236001000000U8","ALFE CONFECCIONES","ALFE CONFECCIONES SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","251 y más personas","CARRETERA","A SAN PABLO DEL MONTE","CALLE","MÁRTIRES DE RÍO BLANCO","CALLE","GASODUCTO","CALLE","SIN REFERENCIA","5",,,,"0","SN","PARQUE INDUSTRIAL","5 DE MAYO","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL 5 E MAYO",,"72019","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","4364","009",,"JGAVITO68@HOTMAIL.COM",,"Fijo","19.09102594","-98.19319983","2010-07"
"6377115","21114313310000176000000000U7","ALILTEX","ALILTEX  SA DE CV","313310","Acabado de productos textiles","101 a 250 personas","CALLE","ANTIGUO CAMINO A MANZANILLA","CARRETERA","FEDERAL PUEBLAAMAZOC","CALLE","NINGUNO","CALLE","ANTIGUO CAMINO A MANZANILLA","59",,,,"0","SN","PARQUE INDUSTRIAL","JOAQUIN COLOMBRES","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL PUEBLA",,"72300","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","0338","033",,"TEREPC@ALILTEX.COM",,"Fijo","19.05664146","-98.15516569","2010-07"
"6376711","21149311940000011001004066S8","ALIMENTOS DE LA GRANJA SA CV","ALIMENTOS DE LA GRANJA SA DE CV","311999","Elaboración de otros alimentos","51 a 100 personas","CALLE","3 SUR","CALLE","ARNULFO PALAFOX","CALLE","3 PONIENTE","CALLE","1 SUR","0","SN",,,,,"COLONIA","CENTRO",,,,"75820","21","PUEBLA","149","Santiago Miahuatlán","0001","Santiago Miahuatlán","0102","001",,"VNERI@ALIMENTOSDELAGRANJA.COM.MX","WWW.ALIMENTODELAGRANJA.COM","Fijo","18.5481988","-97.43939579","2010-07"
"6378019","21119311613000035000007056S3","ALIMENTOS EFA SA DE CV","ALIMENTOS EFA SA DE CV","311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","51 a 100 personas","BOULEVARD","ATLIXCAYOTL","BOULEVARD","PERIFÉRICO ECOLÓGICO","CALLE","LOS REYES",,"NINGUNO","5208",,,,"230",,"COLONIA","SAN BERNARDINO TLAXCALANCINGO",,,,,"21","PUEBLA","119","San Andrés Cholula","0013","San Bernardino Tlaxcalancingo","0527","012",,,,"Fijo","19.00890991","-98.2654421","2013 07"
"3431345","21140311513000022001000000U9","ALMACEN DE EMPRESA ROLLY","PRODUCTOS DE LECHE CIEN POR CIENTO ROLY SA DE CV","311513","Elaboración de derivados y fermentos lácteos","51 a 100 personas","AVENIDA","17 ORIENTE","CALLE","2 SUR","CALLE","4 SUR","AVENIDA","15 ORIENTE","223",,,,,,"BARRIO","SAN PABLO TECAMAC",,,,"72750","21","PUEBLA","140","San Pedro Cholula","0001","Cholula de Rivadavia","0060","034","2222473566",,,"Fijo","19.0538605","-98.30830305","2010-07"
"8901659","21156315229006245000038532S5","ALMACENES DC","ALMACENES DC SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","51 a 100 personas","CARRETERA","FEDERAL PONIENTE","CALLE","EMILIO CARRANZA SUR","CALLE","MORELOS SUR","CALLE","FRANCISCO I MADERO",,,,,,,"COLONIA","SAN LORENZO TEOTIPILCO ZONA NORTE",,,,"75855","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0785","009",,,,"Fijo","18.47634593","-97.4377006","2019-11"
"6272117","21174315229001625002000000U6","ALRO CONFEXIONES",,"315229","Confección en serie de otra ropa exterior de materiales textiles","31 a 50 personas","CALLE","EL FRESNO","CALLE","FRANCISCO I. MADERO","PRIVADA","NINGUNO","CALLE","JOVITO DE LA CALLEJA","35",,,,"0","SN","BARRIO","EL FRESNILLO",,,,"73850","21","PUEBLA","174","Teziutlán","0001","Teziutlán","0251","008",,"ROUSSE.F@HOTMAIL.COM",,"Fijo","19.81131109","-97.37668109","2010-07"
"6271633","21114313310000186000000000U6","ALTO ACABADO SA DE CV",,"313310","Acabado de productos textiles","101 a 250 personas","CALLE","30 NORTE","CALLE","NINGUNO","AVENIDA","12 ORIENTE","CALLE","32 NORTE BIS","1008",,,,"0",,"COLONIA","HUMBOLDT",,,,"72370","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","0624","014",,"ADMINISTRACION@ALTOACABADO.COM",,"Fijo","19.04151798","-98.17460254","2010-07"
"6377361","21114315229001277000000000U2","AMEREX","AMEREX SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","251 y más personas","PROLONGACION","DE LOS PALOS","AVENIDA","FERROCARRIL","PROLONGACION","LIBERTAD","CALLE","NINGUNO","78",,,,"0","SN","COLONIA","SAN PABLO XOCHIMEHUACAN",,,,"72014","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","5786","006",,"CONTABILIDAD@AMEREX.COM.MX",,"Fijo","19.09765044","-98.20316022","2010-07"
"6376595","21114313210000437001009574S5","APOLO TEXTIL PLANTA 2","APOLO TEXTIL SA DE CV","313210","Fabricación de telas anchas de tejido de trama","251 y más personas","CALLE","RESURRECCIÓN PONIENTE","CALLE","RESURRECCIÓN SUR","CALLE","RESURRECCIÓN NORTE","CALLE","LA NOPALERA","7",,,,"0",,"CORREDOR INDUSTRIAL","RESURRECCION","CORREDOR INDUSTRIAL","CORREDOR INDUSTRIAL LA CIENEGA","7","72228","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1641","033",,"david.agular@grupoapolo.com.mx",,"Fijo","19.07973943","-98.15195339","2010-07"
"6379677","21114314120000337000009574M7","APOLO TEXTIL SA DE CV","APOLO TEXTIL SA DE CV","313210","Fabricación de telas anchas de tejido de trama","251 y más personas","CALLE","RESURRECCIÓN ORIENTE","CALLE","RESURRECCIÓN SUR","CALLE","RESURRECCIÓN NORTE","CALLE","CLAVELES","16",,,,"0",,"PARQUE INDUSTRIAL","RESURRECCION","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL RESURECCIÓN",,"72228","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1105","015",,"ANTONIO.VEGA@GRUPOAPOLO.COM.MX",,"Fijo","19.08003106","-98.14756117","2010-07"
"6377777","21114432111000316001000000U7","ARTE EN DENIM","ARTE EN DENIM SA DE CV","313210","Fabricación de telas anchas de tejido de trama","251 y más personas","AVENIDA","AQUILES SERDÁN SUR","AVENIDA","CENTRAL LA ANTIGUA CEMENTERA","CALLE","NINGUNO","CONTINUACION","35","301",,,,"0",,"COLONIA","JESUS GONZALEZ ORTEGA",,,,"72040","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","2550","003",,"YEZIEL@ARTEENDENIM.COM","WWW.ARTEENDENIM.COM","Fijo","19.08472478","-98.22240345","2012-06"
"3340249","21114315229001673001000000U2","ARTE JIN","ARTE JIN SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","31 a 50 personas","CALLE","NINGUNO","CALLE","RICARDO FLORES MAGON","CORREDOR","SIN REFERENCIA","CARRETERA","FEDERAL PUEBLA-TLAXCALA","98",,,,"3","A Y NAVE 4","PARQUE INDUSTRIAL","AMANALCO","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL SAN JERONIMO CALERAS",,"72100","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1603","060","2222681610","DARELYAU09@HOTMAIL.COM",,"Fijo","19.09420367","-98.20831851","2014-12"
"6378259","21074313320000017000000000U8","AUNDE MÉXICO SA DE CV","AUNDE MEXICO SA DE CV","313320","Fabricación de telas recubiertas","251 y más personas","CALLE","LOTE 1 MANZANA C","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","MANZANA 800","0","SN",,,"0",,"COLONIA","SAN MIGUEL",,,,"74169","21","PUEBLA","074","Huejotzingo","0071","Los Volcanes","0097","001",,"JZEPEDA@AUNDE.COM.MX","WWW.AUNDE.COM","Fijo","19.21664171","-98.41318694","2010-07"
"6376589","21114313112000186000000000U6","AZTLÁN TEXTIL SA DE CV","AZTLAN TEXTIL SA DE CV","313112","Preparación e hilado de fibras blandas naturales","101 a 250 personas","CALLE","ANTIGUO CAMINO A LA RESURRECCIÓN","CALLE","SANTA BÁRBARA","CALLE","CAMINO A FÁBRICAS","CALLE","CAMINO A FÁBRICAS","10201",,,,"0",,"PARQUE INDUSTRIAL","SANTA ROSA","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL RESURECCIÓN","10201","72920","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1641","034",,"ROSORNO@AZULTEXTIL.COM",,"Fijo","19.08173512","-98.16228718","2010-07"
"3527135","21114313113000403011000000U3","AZUL TEXTIL SA DE CV","AZUL TEXTIL SA DE CV","313112","Preparación e hilado de fibras blandas naturales","101 a 250 personas","CALLE","ANTIGUO CAMINO A LA RESURRECCIÓN","CALLE","SANTA BÁRBARA","CALLE","CAMINO A FÁBRICAS","CALLE","CAMINO A FÁBRICAS","10201",,,,"0",,"PARQUE INDUSTRIAL","SANTA ROSA","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL RESURECCIÓN","10227","72920","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1641","034",,"ROSORNO@AZULTEXTIL.COM",,"Fijo","19.08221635","-98.16168317","2014-12"
"6271748","21156312112000406011000000U0","BEBIDAS PURIFICADAS DE TEHUACAN","BEBIDAS PURIFICADAS DE TEHUACÁN SA DE CV","312111","Elaboración de refrescos y otras bebidas no alcohólicas","51 a 100 personas","AVENIDA","NACIONAL","CALLE","JOSEFA ORTIZ DE DOMÍNGUEZ","PRIVADA","NINGUNO","CALLE","VICENTE GUERRERO","74",,,,"0",,"COLONIA","SAN LORENZO TEOTIPILCO",,,,"75855","21","PUEBLA","156","Tehuacán","0001","Tehuacán","0836","017",,"CONTABILIDAD1@TEHUACANBRILLANTE.COM",,"Fijo","18.4711068","-97.42773943","2010-07"
"8692231","21041312111000024000052803M7","BEBIDAS Y JUGOS POBLANOS","BEBIDAS Y JUGOS POBLANOS SA DE CV","311422","Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación","31 a 50 personas","CALLE","RIO LERMA","CALLE","CAMINO A SAN LORENZO","AVENIDA","LATERAL  AUTOPISTA MEXICO PUEBLA","CALLE","RÍO LERMA","0","SN",,,"0",,"COLONIA","SANCTORUM",,,,"72730","21","PUEBLA","041","Cuautlancingo","0008","Sanctorum","0113","008",,,"FALCONCMHOTMAIL.COM","Fijo","19.11707632","-98.25468603","2019-11"
"3456092","21114313113000173011000000U2","BEER LINMEX","BEER LINMEX SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","31 a 50 personas","CALLE","VIOLETAS","CERRADA","CUARTA DE VIOLETAS","CERRADA","CERRADA DE LA 2 C SUR","CALLE","PRIMAVERA","235",,,,,,"COLONIA","LAS GOLONDRINAS",,,,"72580","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1425","017",,,,"Fijo","19.01548247","-98.21075221","2010-07"
"6377166","21114312111000047000011308S3","BEPUSA PLANTA PUEBLA","BEBIDAS PURIFICADAS S DE RL DE CV","312111","Elaboración de refrescos y otras bebidas no alcohólicas","251 y más personas","CARRETERA","FEDERAL A TEHUACÁN","CARRETERA","ANTIGUO CAMINO A MANZANILLA",,"NINGUNO",,"ANTIGUO CAMINO A MANZANILLA","1074",,,,,,"CORREDOR INDUSTRIAL","PUEBLA 2000","CORREDOR INDUSTRIAL","CORREDOR INDUSTRIAL LA CIENEGA",,"72227","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","2279","035",,"JOSE.SERVINORTEGA@GEPP.COM","WWW.GEPP.COM.MX","Fijo","19.05922074","-98.15922926","2010-07"
"6379889","21074312111000017000009611M2","BIG COLA","AJEMEX SA DE CV","312111","Elaboración de refrescos y otras bebidas no alcohólicas","251 y más personas","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","MANZANA 800","0","SN",,,"12",,"PARQUE INDUSTRIAL","SANMIGUEL","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL SAN MIGUEL",,"74160","21","PUEBLA","074","Huejotzingo","0071","Los Volcanes","0097","004",,"INVESTORS@AJEGROUP.COM","AJEGROUP.COM","Fijo","19.21541781","-98.41354076","2010-07"
"9297828","21074312111000034000000000U7","BIG COLA","AJEMEX SA DE CV","312111","Elaboración de refrescos y otras bebidas no alcohólicas","31 a 50 personas","CALLE","5","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"PARQUE INDUSTRIAL","LOS VOLCANES","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL SAN MIGUEL",,"74160","21","PUEBLA","074","Huejotzingo","0071","Los Volcanes","0097","006",,,,"Fijo","19.21682133","-98.41356329","2020-11"
"6700290","21174313310000075000000000U5","BLURING - PRO","BLU RING PROCESS SAPI DE CV","313310","Acabado de productos textiles","51 a 100 personas","CALLE","7 DE OCTUBRE","CALLE","REVOLUCION","CALLE","PRIMAVERA","OTRO (ESPECIFIQUE)","SIN REFERENCIA",,"SN",,,,,"BARRIO","ATOLUCA SECC 4A",,,,"73967","21","PUEBLA","174","Teziutlán","0004","Atoluca","0321","044","2311020171","BLURING-PRO.CONRADO@HOTMAIL.COM",,"Fijo","19.84722833","-97.35523343","2016-01"
"9241836","21186315229000105000038284S4","BODEGA DE MAQUILA INPROSECO","INPROSECO SA DE CV","315229","Confección en serie de otra ropa exterior de materiales textiles","31 a 50 personas","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","SN",,,,,"LOCALIDAD","PEZMATLAN",,,,"73904","21","PUEBLA","186","Tlatlauquitepec","0026","Pezmatlán","0036","014","2331277841",,,"Fijo","19.84716851","-97.48471075","2020-04"
"6378288","21140312139000026002000000U3","BODEGAS COPA DE ORO","BODEGAS COPA DE ORO SA DE CV","312139","Elaboración de sidra y otras bebidas fermentadas","31 a 50 personas","CALLE","3 SUR","AVENIDA","9 PONIENTE","AVENIDA","11 PONIENTE","AVENIDA","MIGUEL ALEMÁN VALDÉS","904",,,,,,"BARRIO","SANTA MARÍA XIXITLA",,,,"72760","21","PUEBLA","140","San Pedro Cholula","0001","Cholula de Rivadavia","0060","010",,,"WWW.COPASDEORO.COM.MX","Fijo","19.05832913","-98.31059827","2010-07"
"3363873","21114311812008023001000000M0","BON DESSERT","GRUPO POSTRES DE PUEBLA SA DE CV","311812","Panificación tradicional","31 a 50 personas","AVENIDA","EDUARDO CUE MEMRLO","PRIVADA","15 DE ENERO A","CALLE","EMILIANO ZAPATA","AVENIDA","VENUSTIANO CARRANZA","822",,,,,,"COLONIA","SAN BALTAZAR CAMPECHE",,,,"72550","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1393","050",,,"WWW.BONDESSER.COM","Fijo","19.02114975","-98.20154159","2014-12"
"8801105","21114311812014454000000000S9","BON PANE","PANIFICADORA BEXA SA DE CV","311812","Panificación tradicional","31 a 50 personas","AVENIDA","4 PONIENTE","CALLE","7 NORTE","CALLE","5 NORTE","AVENIDA","2 PONIENTE","507",,,,,,"COLONIA","CENTRO",,,,"72000","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","0408","012",,,"WWW.ESPERANZA.MX","Fijo","19.04771918","-98.20122389","2019-11"
"8800943","21114311812014444000000000M0","BON PANE PANADERIA","PANIFICADORA BEXA ","311812","Panificación tradicional","31 a 50 personas","PROLONGACION","REFORMA","AVENIDA","TEZIUTLAN SUR","CALLE","ALJOJUCA","AVENIDA","REFORMA SUR",,"SN",,,,,"COLONIA","LA PAZ",,,,"72160","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","2508","021","5562850454",,"WWW.BONPANE.MX","Fijo","19.06216201","-98.2305303","2019-11"
"8869373","21114313210000787000000000S3","BONANZA TEXTIL","BONANZA TEXTIL SA DE CV","313210","Fabricación de telas anchas de tejido de trama","251 y más personas","CALLE","D","CALLE","H","CALLE","G","CALLE","G","4",,,,,"4","PARQUE INDUSTRIAL","SAN JOSE MARAVILLAS","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL PUEBLA",,"72200","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","1105","012",,,,"Fijo","19.06590385","-98.15655743","2019-11"
"6378314","21114314991000385002000000U0","BONASA BORDADORA NACIONAL","BONASA BORDADORA NACIONAL SA DE CV","314991","Confección, bordado y deshilado de productos textiles","31 a 50 personas","CALLE","ADOLFO LÓPEZ MATEOS","CALLE","FLAMINGOS","CALLE","BUENOS AIRES","CALLE","VICENTE GUERRERO","1702","B",,,"0",,"COLONIA","SANTA CRUZ BUENA VISTA",,,,"72170","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","392A","008",,"CONTABILIDADFS@BONASA.MX","WWW.BONASA.MX","Fijo","19.05818309","-98.24694991","2010-07"
"6376593","21114315110000214001000000U8","BONETERA MATI","CONFECCIONES DAB DE PUEBLA SA DE CV","315110","Fabricación de calcetines y medias de tejido de punto","31 a 50 personas","CALLE","SEGUNDA DEL LICENCIADO MANUEL DOBLADO","PRIVADA","TERCERA M DOBLADO","CALLE","26 NORTE","AUTOPISTA","PRIVADA A 26 ORIENTE","71",,,,"0",,"COLONIA","XONACA",,,,"72280","21","PUEBLA","114","Puebla","0001","Heroica Puebla de Zaragoza","0446","026",,"VENTAS_DAB@YAHOO.COM.MX",,"Fijo","19.04694735","-98.17604492","2010-07"
